"","hsa-miR-720","hsa-miR-1246","hsa-miR-1827"
"low",0.579367763327077,0.667915942323081,0.585225701197927
"auc",0.703658536585366,0.783333333333333,0.707317073170732
"up",0.827949309843655,0.898750724343585,0.829408445143536
