"","hsa-miR-720","hsa-miR-628-3p","hsa-miR-1321","hsa-miR-636","hsa-miR-1246","hsa-miR-1827"
"low",0.574130286387856,0.499174479230601,0.467791203728062,0.477634829332577,0.55147484373361,0.589572103500212
"auc",0.721052631578947,0.663157894736842,0.629824561403509,0.645614035087719,0.707017543859649,0.736842105263158
"up",0.867974976770039,0.827141310243083,0.791857919078955,0.813593240842862,0.862560243985688,0.884112107026104
