"","hsa-miR-720","hsa-miR-1246","hsa-miR-1827"
"low",0.354861790023182,0.413961332456289,0.344295109251195
"auc",0.515404364569962,0.575738125802311,0.492939666238768
"up",0.675946939116741,0.737514919148332,0.64158422322634
