#ID = 
#miRNA_ID = Name of targeted human miRNA
#miRNA_ID_LIST = Name of targeted miRNA (miRBase 12.0)
#SPOT_ID = 
ID	miRNA_ID	miRNA_ID_LIST	SPOT_ID
hsa-miR-1251	hsa-miR-1251	hsa-miR-1251	
hsa-miR-1252	hsa-miR-1252	hsa-miR-1252	
hsa-miR-1253	hsa-miR-1253	hsa-miR-1253	
hsa-miR-1254	hsa-miR-1254	hsa-miR-1254	
hsa-miR-1255a	hsa-miR-1255a	hsa-miR-1255a	
hsa-miR-1255b	hsa-miR-1255b	hsa-miR-1255b	
hsa-miR-1256	hsa-miR-1256	hsa-miR-1256	
hsa-miR-1257	hsa-miR-1257	hsa-miR-1257	
hsa-miR-1258	hsa-miR-1258	hsa-miR-1258	
hsa-miR-1259	hsa-miR-1259	hsa-miR-1259	
hsa-miR-125a-3p	hsa-miR-125a-3p	hsa-miR-125a-3p/ mmu-miR-125a-3p/ rno-miR-125a-3p	
hsa-miR-125a-5p	hsa-miR-125a-5p	hsa-miR-125a-5p/ mmu-miR-125a-5p/ rno-miR-125a-5p	
hsa-miR-125b-1*	hsa-miR-125b-1*	hsa-miR-125b-1*/ mmu-miR-125b-3p/ rno-miR-125b-3p	
hsa-miR-125b-2*	hsa-miR-125b-2*	hsa-miR-125b-2*/ rno-miR-125b*	
hsa-miR-125b	hsa-miR-125b	hsa-miR-125b/ mmu-miR-125b-5p/ rno-miR-125b-5p	
hsa-miR-126*	hsa-miR-126*	hsa-miR-126*/ mmu-miR-126-5p/ rno-miR-126*	
hsa-miR-126	hsa-miR-126	hsa-miR-126/ mmu-miR-126-3p/ rno-miR-126	
hsa-miR-1260	hsa-miR-1260	hsa-miR-1260	
hsa-miR-1261	hsa-miR-1261	hsa-miR-1261	
hsa-miR-1262	hsa-miR-1262	hsa-miR-1262	
hsa-miR-1263	hsa-miR-1263	hsa-miR-1263	
hsa-miR-1264	hsa-miR-1264	hsa-miR-1264	
hsa-miR-1265	hsa-miR-1265	hsa-miR-1265	
hsa-miR-1266	hsa-miR-1266	hsa-miR-1266	
hsa-miR-1267	hsa-miR-1267	hsa-miR-1267	
hsa-miR-1268	hsa-miR-1268	hsa-miR-1268	
hsa-miR-1269	hsa-miR-1269	hsa-miR-1269	
hsa-miR-127-3p	hsa-miR-127-3p	hsa-miR-127-3p/ mmu-miR-127/ rno-miR-127	
hsa-miR-127-5p	hsa-miR-127-5p	hsa-miR-127-5p/ mmu-miR-127*	
hsa-miR-1270	hsa-miR-1270	hsa-miR-1270	
hsa-miR-1271	hsa-miR-1271	hsa-miR-1271	
hsa-miR-1272	hsa-miR-1272	hsa-miR-1272	
hsa-miR-1273	hsa-miR-1273	hsa-miR-1273	
hsa-miR-1274a	hsa-miR-1274a	hsa-miR-1274a	
hsa-miR-1274b	hsa-miR-1274b	hsa-miR-1274b	
hsa-miR-1275	hsa-miR-1275	hsa-miR-1275	
hsa-miR-1276	hsa-miR-1276	hsa-miR-1276	
hsa-miR-1277	hsa-miR-1277	hsa-miR-1277	
hsa-miR-1278	hsa-miR-1278	hsa-miR-1278	
hsa-miR-1279	hsa-miR-1279	hsa-miR-1279	
hsa-miR-128	hsa-miR-128	hsa-miR-128/ mmu-miR-128/ rno-miR-128	
hsa-miR-1280	hsa-miR-1280	hsa-miR-1280	
hsa-miR-1281	hsa-miR-1281	hsa-miR-1281	
hsa-miR-1282	hsa-miR-1282	hsa-miR-1282	
hsa-miR-1283	hsa-miR-1283	hsa-miR-1283	
hsa-miR-1284	hsa-miR-1284	hsa-miR-1284	
hsa-miR-1285	hsa-miR-1285	hsa-miR-1285	
hsa-miR-1286	hsa-miR-1286	hsa-miR-1286	
hsa-miR-1287	hsa-miR-1287	hsa-miR-1287	
hsa-miR-1288	hsa-miR-1288	hsa-miR-1288	
hsa-miR-1289	hsa-miR-1289	hsa-miR-1289	
hsa-miR-129*	hsa-miR-129*	hsa-miR-129*	
hsa-miR-129-3p	hsa-miR-129-3p	hsa-miR-129-3p	
hsa-miR-129-5p	hsa-miR-129-5p	hsa-miR-129-5p/ mmu-miR-129-5p/ rno-miR-129	
hsa-miR-1290	hsa-miR-1290	hsa-miR-1290	
hsa-miR-1291	hsa-miR-1291	hsa-miR-1291	
hsa-miR-1292	hsa-miR-1292	hsa-miR-1292	
hsa-miR-1293	hsa-miR-1293	hsa-miR-1293	
hsa-miR-1294	hsa-miR-1294	hsa-miR-1294	
hsa-miR-1295	hsa-miR-1295	hsa-miR-1295	
hsa-miR-1296	hsa-miR-1296	hsa-miR-1296	
hsa-miR-1297	hsa-miR-1297	hsa-miR-1297	
hsa-miR-1298	hsa-miR-1298	hsa-miR-1298	
hsa-miR-1299	hsa-miR-1299	hsa-miR-1299	
hsa-miR-1300	hsa-miR-1300	hsa-miR-1300	
hsa-miR-1301	hsa-miR-1301	hsa-miR-1301	
hsa-miR-1302	hsa-miR-1302	hsa-miR-1302	
hsa-miR-1303	hsa-miR-1303	hsa-miR-1303	
hsa-miR-1304	hsa-miR-1304	hsa-miR-1304	
hsa-miR-1305	hsa-miR-1305	hsa-miR-1305	
hsa-miR-1306	hsa-miR-1306	hsa-miR-1306	
hsa-miR-1307	hsa-miR-1307	hsa-miR-1307	
hsa-miR-1308	hsa-miR-1308	hsa-miR-1308	
hsa-miR-130a*	hsa-miR-130a*	hsa-miR-130a*	
hsa-miR-130a	hsa-miR-130a	hsa-miR-130a/ mmu-miR-130a/ rno-miR-130a	
hsa-miR-130b*	hsa-miR-130b*	hsa-miR-130b*/ mmu-miR-130b*	
hsa-miR-130b	hsa-miR-130b	hsa-miR-130b/ mmu-miR-130b/ rno-miR-130b	
hsa-miR-132*	hsa-miR-132*	hsa-miR-132*	
hsa-miR-132	hsa-miR-132	hsa-miR-132/ mmu-miR-132/ rno-miR-132	
hsa-miR-1321	hsa-miR-1321	hsa-miR-1321	
hsa-miR-1322	hsa-miR-1322	hsa-miR-1322	
hsa-miR-1323	hsa-miR-1323	hsa-miR-1323	
hsa-miR-1324	hsa-miR-1324	hsa-miR-1324	
hsa-miR-133a	hsa-miR-133a	hsa-miR-133a/ mmu-miR-133a/ rno-miR-133a	
hsa-miR-133b	hsa-miR-133b	hsa-miR-133b	
hsa-miR-134	hsa-miR-134	hsa-miR-134/ mmu-miR-134/ rno-miR-134	
hsa-miR-135a*	hsa-miR-135a*	hsa-miR-135a*/ mmu-miR-135a*	
hsa-miR-135a	hsa-miR-135a	hsa-miR-135a/ mmu-miR-135a/ rno-miR-135a	
hsa-miR-135b*	hsa-miR-135b*	hsa-miR-135b*	
hsa-miR-135b	hsa-miR-135b	hsa-miR-135b/ mmu-miR-135b/ rno-miR-135b	
hsa-miR-136*	hsa-miR-136*	hsa-miR-136*/ rno-miR-136*	
hsa-miR-136	hsa-miR-136	hsa-miR-136/ mmu-miR-136/ rno-miR-136	
hsa-miR-137	hsa-miR-137	hsa-miR-137/ mmu-miR-137/ rno-miR-137	
hsa-miR-138-1*	hsa-miR-138-1*	hsa-miR-138-1*/ mmu-miR-138*/ rno-miR-138*	
hsa-miR-138-2*	hsa-miR-138-2*	hsa-miR-138-2*	
hsa-miR-138	hsa-miR-138	hsa-miR-138/ mmu-miR-138/ rno-miR-138	
