#ID = 
#miRNA_ID = Name of targeted human miRNA
#miRNA_ID_LIST = Name of targeted miRNA (miRBase 12.0)
#SPOT_ID = 
ID	miRNA_ID	miRNA_ID_LIST	SPOT_ID
hsa-miR-25	hsa-miR-25	hsa-miR-25/ mmu-miR-25/ rno-miR-25	
hsa-miR-26a-1*	hsa-miR-26a-1*	hsa-miR-26a-1*	
hsa-miR-26a-2*	hsa-miR-26a-2*	hsa-miR-26a-2*	
hsa-miR-26a	hsa-miR-26a	hsa-miR-26a/ mmu-miR-26a/ rno-miR-26a	
hsa-miR-26b*	hsa-miR-26b*	hsa-miR-26b*/ mmu-miR-26b*/ rno-miR-26b*	
hsa-miR-26b	hsa-miR-26b	hsa-miR-26b/ mmu-miR-26b/ rno-miR-26b	
hsa-miR-27a*	hsa-miR-27a*	hsa-miR-27a*/ mmu-miR-27a*/ rno-miR-27a*	
hsa-miR-27a	hsa-miR-27a	hsa-miR-27a/ mmu-miR-27a/ rno-miR-27a	
hsa-miR-27b*	hsa-miR-27b*	hsa-miR-27b*/ mmu-miR-27b*	
hsa-miR-27b	hsa-miR-27b	hsa-miR-27b/ mmu-miR-27b/ rno-miR-27b	
hsa-miR-28-3p	hsa-miR-28-3p	hsa-miR-28-3p/ rno-miR-28*	
hsa-miR-28-5p	hsa-miR-28-5p	hsa-miR-28-5p	
hsa-miR-296-3p	hsa-miR-296-3p	hsa-miR-296-3p/ mmu-miR-296-3p/ rno-miR-296	
hsa-miR-296-5p	hsa-miR-296-5p	hsa-miR-296-5p/ mmu-miR-296-5p/ rno-miR-296*	
hsa-miR-297	hsa-miR-297	hsa-miR-297/ mmu-miR-297a	
hsa-miR-298	hsa-miR-298	hsa-miR-298	
hsa-miR-299-3p	hsa-miR-299-3p	hsa-miR-299-3p	
hsa-miR-299-5p	hsa-miR-299-5p	hsa-miR-299-5p/ mmu-miR-299*/ rno-miR-299	
hsa-miR-29a*	hsa-miR-29a*	hsa-miR-29a*/ mmu-miR-29a*/ rno-miR-29a*	
hsa-miR-29a	hsa-miR-29a	hsa-miR-29a/ mmu-miR-29a/ rno-miR-29a	
hsa-miR-29b-1*	hsa-miR-29b-1*	hsa-miR-29b-1*/ mmu-miR-29b*	
hsa-miR-29b-2*	hsa-miR-29b-2*	hsa-miR-29b-2*/ rno-miR-29b-2*	
hsa-miR-29b	hsa-miR-29b	hsa-miR-29b/ mmu-miR-29b/ rno-miR-29b	
hsa-miR-29c*	hsa-miR-29c*	hsa-miR-29c*/ mmu-miR-29c*/ rno-miR-29c*	
hsa-miR-29c	hsa-miR-29c	hsa-miR-29c/ mmu-miR-29c/ rno-miR-29c	
hsa-miR-300	hsa-miR-300	hsa-miR-300	
hsa-miR-301a	hsa-miR-301a	hsa-miR-301a/ mmu-miR-301a/ rno-miR-301a	
hsa-miR-301b	hsa-miR-301b	hsa-miR-301b	
hsa-miR-302a	hsa-miR-302a	hsa-miR-302a	
hsa-miR-302a*	hsa-miR-302a*	hsa-miR-302a*	
hsa-miR-302b*	hsa-miR-302b*	hsa-miR-302b*	
hsa-miR-302b	hsa-miR-302b	hsa-miR-302b/ mmu-miR-302b	
hsa-miR-302c*	hsa-miR-302c*	hsa-miR-302c*	
hsa-miR-302c	hsa-miR-302c	hsa-miR-302c/ mmu-miR-302c	
hsa-miR-302d*	hsa-miR-302d*	hsa-miR-302d*	
hsa-miR-302d	hsa-miR-302d	hsa-miR-302d/ mmu-miR-302d	
hsa-miR-302e	hsa-miR-302e	hsa-miR-302e	
hsa-miR-302f	hsa-miR-302f	hsa-miR-302f	
hsa-miR-30a*	hsa-miR-30a*	hsa-miR-30a*/ mmu-miR-30a*/ rno-miR-30a*	
hsa-miR-30a	hsa-miR-30a	hsa-miR-30a/ mmu-miR-30a/ rno-miR-30a	
hsa-miR-30b*	hsa-miR-30b*	hsa-miR-30b*	
hsa-miR-30b	hsa-miR-30b	hsa-miR-30b/ mmu-miR-30b/ rno-miR-30b-5p	
hsa-miR-30c-1*	hsa-miR-30c-1*	hsa-miR-30c-1*/ mmu-miR-30c-1*/ rno-miR-30c-1*	
hsa-miR-30c-2*	hsa-miR-30c-2*	hsa-miR-30c-2*/ mmu-miR-30c-2*/ rno-miR-30c-2*	
hsa-miR-30c	hsa-miR-30c	hsa-miR-30c/ mmu-miR-30c/ rno-miR-30c	
hsa-miR-30d*	hsa-miR-30d*	hsa-miR-30d*/ rno-miR-30d*	
hsa-miR-30d	hsa-miR-30d	hsa-miR-30d/ mmu-miR-30d/ rno-miR-30d	
hsa-miR-30e*	hsa-miR-30e*	hsa-miR-30e*/ mmu-miR-30e*/ rno-miR-30e*	
hsa-miR-30e	hsa-miR-30e	hsa-miR-30e/ mmu-miR-30e/ rno-miR-30e	
hsa-miR-31*	hsa-miR-31*	hsa-miR-31*/ mmu-miR-31*	
hsa-miR-31	hsa-miR-31	hsa-miR-31/ mmu-miR-31/ rno-miR-31	
hsa-miR-32*	hsa-miR-32*	hsa-miR-32*	
hsa-miR-32	hsa-miR-32	hsa-miR-32/ mmu-miR-32/ rno-miR-32	
hsa-miR-320a	hsa-miR-320a	hsa-miR-320a/ mmu-miR-320/ rno-miR-320	
hsa-miR-320b	hsa-miR-320b	hsa-miR-320b	
hsa-miR-320c	hsa-miR-320c	hsa-miR-320c	
hsa-miR-320d	hsa-miR-320d	hsa-miR-320d	
hsa-miR-323-3p	hsa-miR-323-3p	hsa-miR-323-3p/ mmu-miR-323-3p/ rno-miR-323	
hsa-miR-323-5p	hsa-miR-323-5p	hsa-miR-323-5p/ mmu-miR-323-5p/ rno-miR-323*	
hsa-miR-324-3p	hsa-miR-324-3p	hsa-miR-324-3p/ mmu-miR-324-3p/ rno-miR-324-3p	
hsa-miR-324-5p	hsa-miR-324-5p	hsa-miR-324-5p/ mmu-miR-324-5p/ rno-miR-324-5p	
hsa-miR-325	hsa-miR-325	hsa-miR-325	
hsa-miR-326	hsa-miR-326	hsa-miR-326/ mmu-miR-326/ rno-miR-326	
hsa-miR-328	hsa-miR-328	hsa-miR-328/ mmu-miR-328/ rno-miR-328	
hsa-miR-329	hsa-miR-329	hsa-miR-329	
hsa-miR-330-3p	hsa-miR-330-3p	hsa-miR-330-3p	
hsa-miR-330-5p	hsa-miR-330-5p	hsa-miR-330-5p/ mmu-miR-330/ rno-miR-330	
hsa-miR-331-3p	hsa-miR-331-3p	hsa-miR-331-3p/ mmu-miR-331-3p/ rno-miR-331	
hsa-miR-331-5p	hsa-miR-331-5p	hsa-miR-331-5p/ mmu-miR-331-5p	
hsa-miR-335*	hsa-miR-335*	hsa-miR-335*/ mmu-miR-335-3p	
hsa-miR-335	hsa-miR-335	hsa-miR-335/ mmu-miR-335-5p/ rno-miR-335	
hsa-miR-337-3p	hsa-miR-337-3p	hsa-miR-337-3p	
hsa-miR-337-5p	hsa-miR-337-5p	hsa-miR-337-5p	
hsa-miR-338-3p	hsa-miR-338-3p	hsa-miR-338-3p/ mmu-miR-338-3p/ rno-miR-338	
hsa-miR-338-5p	hsa-miR-338-5p	hsa-miR-338-5p/ mmu-miR-338-5p/ rno-miR-338*	
hsa-miR-339-3p	hsa-miR-339-3p	hsa-miR-339-3p/ rno-miR-339-3p	
hsa-miR-339-5p	hsa-miR-339-5p	hsa-miR-339-5p/ mmu-miR-339-5p/ rno-miR-339-5p	
hsa-miR-33a	hsa-miR-33a	hsa-miR-33a	
hsa-miR-33a*	hsa-miR-33a*	hsa-miR-33a*/ mmu-miR-33*	
hsa-miR-33b	hsa-miR-33b	hsa-miR-33b	
hsa-miR-33b*	hsa-miR-33b*	hsa-miR-33b*	
hsa-miR-340	hsa-miR-340	hsa-miR-340	
hsa-miR-340*	hsa-miR-340*	hsa-miR-340*/ mmu-miR-340-3p/ rno-miR-340-3p	
hsa-miR-342-3p	hsa-miR-342-3p	hsa-miR-342-3p/ mmu-miR-342-3p/ rno-miR-342-3p	
hsa-miR-342-5p	hsa-miR-342-5p	hsa-miR-342-5p/ mmu-miR-342-5p/ rno-miR-342-5p	
hsa-miR-345	hsa-miR-345	hsa-miR-345	
hsa-miR-346	hsa-miR-346	hsa-miR-346	
hsa-miR-34a*	hsa-miR-34a*	hsa-miR-34a*	
hsa-miR-34a	hsa-miR-34a	hsa-miR-34a/ mmu-miR-34a/ rno-miR-34a	
hsa-miR-34b*	hsa-miR-34b*	hsa-miR-34b*	
hsa-miR-34b	hsa-miR-34b	hsa-miR-34b/ mmu-miR-34b-3p	
hsa-miR-34c-3p	hsa-miR-34c-3p	hsa-miR-34c-3p	
hsa-miR-34c-5p	hsa-miR-34c-5p	hsa-miR-34c-5p	
hsa-miR-361-3p	hsa-miR-361-3p	hsa-miR-361-3p	
hsa-miR-361-5p	hsa-miR-361-5p	hsa-miR-361-5p/ mmu-miR-361/ rno-miR-361	
hsa-miR-362-3p	hsa-miR-362-3p	hsa-miR-362-3p	
hsa-miR-362-5p	hsa-miR-362-5p	hsa-miR-362-5p	
hsa-miR-363*	hsa-miR-363*	hsa-miR-363*/ rno-miR-363*	
hsa-miR-363	hsa-miR-363	hsa-miR-363/ mmu-miR-363/ rno-miR-363	
hsa-miR-365	hsa-miR-365	hsa-miR-365/ mmu-miR-365/ rno-miR-365	
hsa-miR-367*	hsa-miR-367*	hsa-miR-367*	
hsa-miR-367	hsa-miR-367	hsa-miR-367/ mmu-miR-367	
hsa-miR-369-3p	hsa-miR-369-3p	hsa-miR-369-3p/ mmu-miR-369-3p/ rno-miR-369-3p	
hsa-miR-369-5p	hsa-miR-369-5p	hsa-miR-369-5p/ mmu-miR-369-5p/ rno-miR-369-5p	
hsa-miR-370	hsa-miR-370	hsa-miR-370/ mmu-miR-370/ rno-miR-370	
hsa-miR-371-3p	hsa-miR-371-3p	hsa-miR-371-3p	
hsa-miR-371-5p	hsa-miR-371-5p	hsa-miR-371-5p	
hsa-miR-372	hsa-miR-372	hsa-miR-372	
hsa-miR-373	hsa-miR-373	hsa-miR-373	
hsa-miR-373*	hsa-miR-373*	hsa-miR-373*	
hsa-miR-374a	hsa-miR-374a	hsa-miR-374a	
hsa-miR-374a*	hsa-miR-374a*	hsa-miR-374a*	
hsa-miR-374b*	hsa-miR-374b*	hsa-miR-374b*	
hsa-miR-374b	hsa-miR-374b	hsa-miR-374b/ mmu-miR-374/ rno-miR-374	
hsa-miR-375	hsa-miR-375	hsa-miR-375/ mmu-miR-375/ rno-miR-375	
hsa-miR-376a	hsa-miR-376a	hsa-miR-376a	
hsa-miR-376a*	hsa-miR-376a*	hsa-miR-376a*	
hsa-miR-376b	hsa-miR-376b	hsa-miR-376b	
hsa-miR-376c	hsa-miR-376c	hsa-miR-376c	
hsa-miR-377*	hsa-miR-377*	hsa-miR-377*	
hsa-miR-377	hsa-miR-377	hsa-miR-377/ mmu-miR-377/ rno-miR-377	
hsa-miR-378*	hsa-miR-378*	hsa-miR-378*/ mmu-miR-378*/ rno-miR-378*	
hsa-miR-378	hsa-miR-378	hsa-miR-378/ mmu-miR-378/ rno-miR-378	
hsa-miR-379*	hsa-miR-379*	hsa-miR-379*	
hsa-miR-379	hsa-miR-379	hsa-miR-379/ mmu-miR-379/ rno-miR-379	
hsa-miR-380	hsa-miR-380	hsa-miR-380	
hsa-miR-380*	hsa-miR-380*	hsa-miR-380*	
hsa-miR-381	hsa-miR-381	hsa-miR-381/ mmu-miR-381/ rno-miR-381	
hsa-miR-382	hsa-miR-382	hsa-miR-382/ mmu-miR-382/ rno-miR-382	
hsa-miR-383	hsa-miR-383	hsa-miR-383	
hsa-miR-384	hsa-miR-384	hsa-miR-384	
hsa-miR-409-3p	hsa-miR-409-3p	hsa-miR-409-3p/ mmu-miR-409-3p/ rno-miR-409-3p	
hsa-miR-409-5p	hsa-miR-409-5p	hsa-miR-409-5p/ mmu-miR-409-5p	
hsa-miR-410	hsa-miR-410	hsa-miR-410/ mmu-miR-410/ rno-miR-410	
hsa-miR-411*	hsa-miR-411*	hsa-miR-411*/ mmu-miR-411*	
hsa-miR-411	hsa-miR-411	hsa-miR-411/ mmu-miR-411/ rno-miR-411	
hsa-miR-412	hsa-miR-412	hsa-miR-412/ mmu-miR-412/ rno-miR-412	
hsa-miR-421	hsa-miR-421	hsa-miR-421/ mmu-miR-421	
hsa-miR-422a	hsa-miR-422a	hsa-miR-422a	
hsa-miR-423-3p	hsa-miR-423-3p	hsa-miR-423-3p/ mmu-miR-423-3p/ rno-miR-423	
hsa-miR-423-5p	hsa-miR-423-5p	hsa-miR-423-5p/ mmu-miR-423-5p	
hsa-miR-424	hsa-miR-424	hsa-miR-424	
hsa-miR-424*	hsa-miR-424*	hsa-miR-424*	
hsa-miR-425*	hsa-miR-425*	hsa-miR-425*/ mmu-miR-425*	
hsa-miR-425	hsa-miR-425	hsa-miR-425/ mmu-miR-425/ rno-miR-425	
hsa-miR-429	hsa-miR-429	hsa-miR-429	
hsa-miR-431*	hsa-miR-431*	hsa-miR-431*/ mmu-miR-431*	
hsa-miR-431	hsa-miR-431	hsa-miR-431/ mmu-miR-431/ rno-miR-431	
hsa-miR-432	hsa-miR-432	hsa-miR-432	
hsa-miR-432*	hsa-miR-432*	hsa-miR-432*	
hsa-miR-433	hsa-miR-433	hsa-miR-433/ mmu-miR-433/ rno-miR-433	
hsa-miR-448	hsa-miR-448	hsa-miR-448/ mmu-miR-448/ rno-miR-448	
hsa-miR-449a	hsa-miR-449a	hsa-miR-449a/ mmu-miR-449a/ rno-miR-449a	
hsa-miR-449b	hsa-miR-449b	hsa-miR-449b	
hsa-miR-450a	hsa-miR-450a	hsa-miR-450a	
hsa-miR-450b-3p	hsa-miR-450b-3p	hsa-miR-450b-3p	
hsa-miR-450b-5p	hsa-miR-450b-5p	hsa-miR-450b-5p	
hsa-miR-451	hsa-miR-451	hsa-miR-451/ mmu-miR-451/ rno-miR-451	
hsa-miR-452	hsa-miR-452	hsa-miR-452	
hsa-miR-452*	hsa-miR-452*	hsa-miR-452*	
hsa-miR-453	hsa-miR-453	hsa-miR-453	
hsa-miR-454	hsa-miR-454	hsa-miR-454	
hsa-miR-454*	hsa-miR-454*	hsa-miR-454*	
hsa-miR-455-3p	hsa-miR-455-3p	hsa-miR-455-3p	
hsa-miR-455-5p	hsa-miR-455-5p	hsa-miR-455-5p/ mmu-miR-455*/ rno-miR-455	
hsa-miR-483-3p	hsa-miR-483-3p	hsa-miR-483-3p	
hsa-miR-483-5p	hsa-miR-483-5p	hsa-miR-483-5p	
hsa-miR-484	hsa-miR-484	hsa-miR-484/ mmu-miR-484/ rno-miR-484	
hsa-miR-485-3p	hsa-miR-485-3p	hsa-miR-485-3p/ mmu-miR-485*	
hsa-miR-485-5p	hsa-miR-485-5p	hsa-miR-485-5p/ mmu-miR-485/ rno-miR-485	
hsa-miR-486-3p	hsa-miR-486-3p	hsa-miR-486-3p	
hsa-miR-486-5p	hsa-miR-486-5p	hsa-miR-486-5p	
hsa-miR-487a	hsa-miR-487a	hsa-miR-487a	
hsa-miR-487b	hsa-miR-487b	hsa-miR-487b/ mmu-miR-487b/ rno-miR-487b	
hsa-miR-488	hsa-miR-488	hsa-miR-488	
hsa-miR-488*	hsa-miR-488*	hsa-miR-488*	
hsa-miR-489	hsa-miR-489	hsa-miR-489	
hsa-miR-490-3p	hsa-miR-490-3p	hsa-miR-490-3p/ mmu-miR-490	
hsa-miR-490-5p	hsa-miR-490-5p	hsa-miR-490-5p	
hsa-miR-491-3p	hsa-miR-491-3p	hsa-miR-491-3p	
hsa-miR-491-5p	hsa-miR-491-5p	hsa-miR-491-5p/ mmu-miR-491	
hsa-miR-492	hsa-miR-492	hsa-miR-492	
hsa-miR-493*	hsa-miR-493*	hsa-miR-493*	
hsa-miR-493	hsa-miR-493	hsa-miR-493/ rno-miR-493	
hsa-miR-494	hsa-miR-494	hsa-miR-494/ mmu-miR-494/ rno-miR-494	
hsa-miR-495	hsa-miR-495	hsa-miR-495/ mmu-miR-495/ rno-miR-495	
hsa-miR-496	hsa-miR-496	hsa-miR-496/ mmu-miR-496	
hsa-miR-497*	hsa-miR-497*	hsa-miR-497*	
hsa-miR-497	hsa-miR-497	hsa-miR-497/ mmu-miR-497/ rno-miR-497	
hsa-miR-498	hsa-miR-498	hsa-miR-498	
hsa-miR-499-3p	hsa-miR-499-3p	hsa-miR-499-3p	
hsa-miR-499-5p	hsa-miR-499-5p	hsa-miR-499-5p/ mmu-miR-499/ rno-miR-499	
hsa-miR-500	hsa-miR-500	hsa-miR-500	
hsa-miR-500*	hsa-miR-500*	hsa-miR-500*	
hsa-miR-501-3p	hsa-miR-501-3p	hsa-miR-501-3p/ mmu-miR-501-3p	
hsa-miR-501-5p	hsa-miR-501-5p	hsa-miR-501-5p	
hsa-miR-502-3p	hsa-miR-502-3p	hsa-miR-502-3p	
hsa-miR-502-5p	hsa-miR-502-5p	hsa-miR-502-5p	
hsa-miR-503	hsa-miR-503	hsa-miR-503	
hsa-miR-504	hsa-miR-504	hsa-miR-504/ mmu-miR-504	
hsa-miR-505*	hsa-miR-505*	hsa-miR-505*	
hsa-miR-505	hsa-miR-505	hsa-miR-505/ rno-miR-505	
hsa-miR-506	hsa-miR-506	hsa-miR-506	
hsa-miR-507	hsa-miR-507	hsa-miR-507	
hsa-miR-508-3p	hsa-miR-508-3p	hsa-miR-508-3p	
hsa-miR-508-5p	hsa-miR-508-5p	hsa-miR-508-5p	
hsa-miR-509-3-5p	hsa-miR-509-3-5p	hsa-miR-509-3-5p	
hsa-miR-509-3p	hsa-miR-509-3p	hsa-miR-509-3p	
hsa-miR-509-5p	hsa-miR-509-5p	hsa-miR-509-5p	
hsa-miR-510	hsa-miR-510	hsa-miR-510	
hsa-miR-511	hsa-miR-511	hsa-miR-511	
hsa-miR-512-3p	hsa-miR-512-3p	hsa-miR-512-3p	
hsa-miR-512-5p	hsa-miR-512-5p	hsa-miR-512-5p	
hsa-miR-513a-3p	hsa-miR-513a-3p	hsa-miR-513a-3p	
hsa-miR-513a-5p	hsa-miR-513a-5p	hsa-miR-513a-5p	
hsa-miR-513b	hsa-miR-513b	hsa-miR-513b	
hsa-miR-513c	hsa-miR-513c	hsa-miR-513c	
hsa-miR-514	hsa-miR-514	hsa-miR-514	
hsa-miR-515-3p	hsa-miR-515-3p	hsa-miR-515-3p	
hsa-miR-515-5p	hsa-miR-515-5p	hsa-miR-515-5p	
hsa-miR-516a-5p	hsa-miR-516a-5p	hsa-miR-516a-5p	
hsa-miR-516b	hsa-miR-516b	hsa-miR-516b	
hsa-miR-516b*/hsa-miR-516a-3p	hsa-miR-516b*/hsa-miR-516a-3p	hsa-miR-516b*/ hsa-miR-516a-3p	
hsa-miR-517*	hsa-miR-517*	hsa-miR-517*	
hsa-miR-517a	hsa-miR-517a	hsa-miR-517a	
hsa-miR-517b	hsa-miR-517b	hsa-miR-517b	
hsa-miR-517c	hsa-miR-517c	hsa-miR-517c	
hsa-miR-518a-3p	hsa-miR-518a-3p	hsa-miR-518a-3p	
hsa-miR-518a-5p/hsa-miR-527	hsa-miR-518a-5p/hsa-miR-527	hsa-miR-518a-5p/ hsa-miR-527	
hsa-miR-518b	hsa-miR-518b	hsa-miR-518b	
hsa-miR-518c	hsa-miR-518c	hsa-miR-518c	
hsa-miR-518c*	hsa-miR-518c*	hsa-miR-518c*	
hsa-miR-518d-3p	hsa-miR-518d-3p	hsa-miR-518d-3p	
hsa-miR-518e	hsa-miR-518e	hsa-miR-518e	
hsa-miR-518f	hsa-miR-518f	hsa-miR-518f	
hsa-miR-518f*	hsa-miR-518f*	hsa-miR-518f*	
hsa-miR-519a	hsa-miR-519a	hsa-miR-519a	
hsa-miR-519b-3p	hsa-miR-519b-3p	hsa-miR-519b-3p	
hsa-miR-519c-3p	hsa-miR-519c-3p	hsa-miR-519c-3p	
hsa-miR-519d	hsa-miR-519d	hsa-miR-519d	
hsa-miR-519e	hsa-miR-519e	hsa-miR-519e	
hsa-miR-519e*	hsa-miR-519e*	hsa-miR-519e*	
hsa-miR-520a-3p	hsa-miR-520a-3p	hsa-miR-520a-3p	
hsa-miR-520a-5p	hsa-miR-520a-5p	hsa-miR-520a-5p	
hsa-miR-520b	hsa-miR-520b	hsa-miR-520b	
hsa-miR-520c-3p	hsa-miR-520c-3p	hsa-miR-520c-3p	
hsa-miR-520d-3p	hsa-miR-520d-3p	hsa-miR-520d-3p	
hsa-miR-520d-5p	hsa-miR-520d-5p	hsa-miR-520d-5p	
hsa-miR-520e	hsa-miR-520e	hsa-miR-520e	
hsa-miR-520f	hsa-miR-520f	hsa-miR-520f	
hsa-miR-520g	hsa-miR-520g	hsa-miR-520g	
hsa-miR-520h	hsa-miR-520h	hsa-miR-520h	
hsa-miR-521	hsa-miR-521	hsa-miR-521	
hsa-miR-522	hsa-miR-522	hsa-miR-522	
hsa-miR-523	hsa-miR-523	hsa-miR-523	
hsa-miR-523*/hsa-miR-518e*/hsa-miR-522*/hsa-miR-519a*/hsa-miR-519c-5p/hsa-miR-519b-5p	hsa-miR-523*	hsa-miR-523*/ hsa-miR-518e*/ hsa-miR-522*/ hsa-miR-519a*/ hsa-miR-519c-5p/ hsa-miR-519b-5p	
hsa-miR-524-3p	hsa-miR-524-3p	hsa-miR-524-3p	
hsa-miR-524-5p	hsa-miR-524-5p	hsa-miR-524-5p	
hsa-miR-525-3p	hsa-miR-525-3p	hsa-miR-525-3p	
hsa-miR-525-5p	hsa-miR-525-5p	hsa-miR-525-5p	
hsa-miR-526a/hsa-miR-520c-5p/hsa-miR-518d-5p	hsa-miR-526a	hsa-miR-526a/ hsa-miR-520c-5p/ hsa-miR-518d-5p	
hsa-miR-526b	hsa-miR-526b	hsa-miR-526b	
hsa-miR-526b*	hsa-miR-526b*	hsa-miR-526b*	
hsa-miR-532-3p	hsa-miR-532-3p	hsa-miR-532-3p/ mmu-miR-532-3p/ rno-miR-532-3p	
hsa-miR-532-5p	hsa-miR-532-5p	hsa-miR-532-5p/ mmu-miR-532-5p/ rno-miR-532-5p	
hsa-miR-539	hsa-miR-539	hsa-miR-539/ mmu-miR-539/ rno-miR-539	
hsa-miR-541	hsa-miR-541	hsa-miR-541	
hsa-miR-541*	hsa-miR-541*	hsa-miR-541*	
hsa-miR-542-3p	hsa-miR-542-3p	hsa-miR-542-3p/ mmu-miR-542-3p/ rno-miR-542-3p	
hsa-miR-542-5p	hsa-miR-542-5p	hsa-miR-542-5p/ mmu-miR-542-5p/ rno-miR-542-5p	
hsa-miR-543	hsa-miR-543	hsa-miR-543/ mmu-miR-543/ rno-miR-543*	
hsa-miR-544	hsa-miR-544	hsa-miR-544	
hsa-miR-545	hsa-miR-545	hsa-miR-545	
hsa-miR-545*	hsa-miR-545*	hsa-miR-545*	
hsa-miR-548a-3p	hsa-miR-548a-3p	hsa-miR-548a-3p	
hsa-miR-548a-5p	hsa-miR-548a-5p	hsa-miR-548a-5p	
hsa-miR-548b-3p	hsa-miR-548b-3p	hsa-miR-548b-3p	
hsa-miR-548b-5p	hsa-miR-548b-5p	hsa-miR-548b-5p	
hsa-miR-548c-3p	hsa-miR-548c-3p	hsa-miR-548c-3p	
hsa-miR-548c-5p	hsa-miR-548c-5p	hsa-miR-548c-5p	
hsa-miR-548d-3p	hsa-miR-548d-3p	hsa-miR-548d-3p	
hsa-miR-548d-5p	hsa-miR-548d-5p	hsa-miR-548d-5p	
hsa-miR-548e	hsa-miR-548e	hsa-miR-548e	
hsa-miR-548f	hsa-miR-548f	hsa-miR-548f	
hsa-miR-548g	hsa-miR-548g	hsa-miR-548g	
hsa-miR-548h	hsa-miR-548h	hsa-miR-548h	
hsa-miR-548i	hsa-miR-548i	hsa-miR-548i	
hsa-miR-548j	hsa-miR-548j	hsa-miR-548j	
hsa-miR-548k	hsa-miR-548k	hsa-miR-548k	
hsa-miR-548l	hsa-miR-548l	hsa-miR-548l	
hsa-miR-548m	hsa-miR-548m	hsa-miR-548m	
hsa-miR-548n	hsa-miR-548n	hsa-miR-548n	
hsa-miR-548o	hsa-miR-548o	hsa-miR-548o	
hsa-miR-548p	hsa-miR-548p	hsa-miR-548p	
hsa-miR-549	hsa-miR-549	hsa-miR-549	
hsa-miR-550	hsa-miR-550	hsa-miR-550	
hsa-miR-550*	hsa-miR-550*	hsa-miR-550*	
hsa-miR-551a	hsa-miR-551a	hsa-miR-551a	
hsa-miR-551b*	hsa-miR-551b*	hsa-miR-551b*	
hsa-miR-551b	hsa-miR-551b	hsa-miR-551b/ mmu-miR-551b/ rno-miR-551b	
hsa-miR-552	hsa-miR-552	hsa-miR-552	
hsa-miR-553	hsa-miR-553	hsa-miR-553	
hsa-miR-554	hsa-miR-554	hsa-miR-554	
hsa-miR-555	hsa-miR-555	hsa-miR-555	
hsa-miR-556-3p	hsa-miR-556-3p	hsa-miR-556-3p	
hsa-miR-556-5p	hsa-miR-556-5p	hsa-miR-556-5p	
hsa-miR-557	hsa-miR-557	hsa-miR-557	
hsa-miR-558	hsa-miR-558	hsa-miR-558	
hsa-miR-559	hsa-miR-559	hsa-miR-559	
hsa-miR-561	hsa-miR-561	hsa-miR-561	
hsa-miR-562	hsa-miR-562	hsa-miR-562	
hsa-miR-563	hsa-miR-563	hsa-miR-563	
hsa-miR-564	hsa-miR-564	hsa-miR-564	
hsa-miR-566	hsa-miR-566	hsa-miR-566	
hsa-miR-567	hsa-miR-567	hsa-miR-567	
hsa-miR-568	hsa-miR-568	hsa-miR-568/ mmu-miR-568	
hsa-miR-569	hsa-miR-569	hsa-miR-569	
hsa-miR-570	hsa-miR-570	hsa-miR-570	
hsa-miR-571	hsa-miR-571	hsa-miR-571	
hsa-miR-572	hsa-miR-572	hsa-miR-572	
hsa-miR-573	hsa-miR-573	hsa-miR-573	
hsa-miR-574-3p	hsa-miR-574-3p	hsa-miR-574-3p	
hsa-miR-574-5p	hsa-miR-574-5p	hsa-miR-574-5p/ mmu-miR-574-5p	
hsa-miR-575	hsa-miR-575	hsa-miR-575	
hsa-miR-576-3p	hsa-miR-576-3p	hsa-miR-576-3p	
hsa-miR-576-5p	hsa-miR-576-5p	hsa-miR-576-5p	
hsa-miR-577	hsa-miR-577	hsa-miR-577	
hsa-miR-578	hsa-miR-578	hsa-miR-578	
hsa-miR-579	hsa-miR-579	hsa-miR-579	
hsa-miR-580	hsa-miR-580	hsa-miR-580	
hsa-miR-581	hsa-miR-581	hsa-miR-581	
hsa-miR-582-3p	hsa-miR-582-3p	hsa-miR-582-3p	
hsa-miR-582-5p	hsa-miR-582-5p	hsa-miR-582-5p	
hsa-miR-583	hsa-miR-583	hsa-miR-583	
hsa-miR-584	hsa-miR-584	hsa-miR-584	
hsa-miR-585	hsa-miR-585	hsa-miR-585	
hsa-miR-586	hsa-miR-586	hsa-miR-586	
hsa-miR-587	hsa-miR-587	hsa-miR-587	
hsa-miR-588	hsa-miR-588	hsa-miR-588	
hsa-miR-589	hsa-miR-589	hsa-miR-589	
hsa-miR-589*	hsa-miR-589*	hsa-miR-589*	
hsa-miR-590-3p	hsa-miR-590-3p	hsa-miR-590-3p/ mmu-miR-590-3p	
hsa-miR-590-5p	hsa-miR-590-5p	hsa-miR-590-5p/ mmu-miR-590-5p	
hsa-miR-591	hsa-miR-591	hsa-miR-591	
hsa-miR-592	hsa-miR-592	hsa-miR-592/ mmu-miR-592	
hsa-miR-593	hsa-miR-593	hsa-miR-593	
hsa-miR-593*	hsa-miR-593*	hsa-miR-593*	
hsa-miR-595	hsa-miR-595	hsa-miR-595	
hsa-miR-596	hsa-miR-596	hsa-miR-596	
hsa-miR-597	hsa-miR-597	hsa-miR-597	
hsa-miR-598	hsa-miR-598	hsa-miR-598	
hsa-miR-599	hsa-miR-599	hsa-miR-599	
hsa-miR-600	hsa-miR-600	hsa-miR-600	
